d_cagr,d_vol_ann,d_mdd,d_cost,d_exposure,d_sharpe,d_sortino,strategy,period
-0.0172,-0.0316,0.0015,523445.0,-0.2507,-0.111,-0.142,sizing_tv10,2010-2017
-0.0102,-0.015,-0.0136,223538.0,-0.0833,-0.065,-0.074,sizing_tv15,2010-2017
-0.0179,-0.0584,0.0715,491180.0,-0.3745,-0.249,-0.338,sizing_tv10,2018-2024
-0.0137,-0.0275,0.023,349243.0,-0.1492,-0.137,-0.187,sizing_tv15,2018-2024
-0.1789,-0.1625,0.1878,74505.0,-0.6295,0.924,1.293,sizing_tv10,2025-
-0.1272,-0.1424,0.1705,95155.0,-0.453,0.962,1.363,sizing_tv15,2025-
-0.0182,-0.0461,0.1525,1091491.0,-0.3407,-0.014,0.067,sizing_tv10,ALL
-0.0125,-0.0375,0.1342,668662.0,-0.148,0.055,0.156,sizing_tv15,ALL
