years,bars,capital_krw,cagr_net,sharpe_net,sortino_net,calmar_net,mdd_net,win_rate,profit_factor,resize_count,n_segments,trades_per_year,total_cost_krw,total_cost_pct_cap,avg_exposure,time_in_market,final_equity_krw,vol_ann,exp_turnover,exp_turnover_ann,source,period,window,status
6.9925,1693,109925000.0,-0.0008,0.02,0.026,-0.004,-0.19,0.044,0.693,1499,1500,214.37,894214.0,0.008135,0.4634,0.9652,109302760.0,0.0335,67.6587,9.6759,5-4_C,2018-2024,none,OK
6.9925,1472,109925000.0,-0.0027,0.067,0.129,-0.009,-0.2847,0.0,0.0,0,1,0.0,26000.0,0.000237,1.0,1.0,107874000.0,0.0909,0.0,0.0,B&H,2018-2024,covid_long,OK
6.9925,1472,109925000.0,-0.0164,-0.105,-0.173,-0.064,-0.2542,0.0495,0.836,1311,1312,187.49,429310.0,0.003905,0.7399,1.0,97938448.0,0.0589,31.4603,4.4992,5-4_A,2018-2024,covid_long,OK
6.9925,1472,109925000.0,-0.0237,-0.259,-0.372,-0.099,-0.2394,0.0495,0.804,1311,1312,187.49,630964.0,0.00574,0.6098,1.0,92970673.0,0.0452,47.1905,6.7487,5-4_B,2018-2024,covid_long,OK
6.9925,1472,109925000.0,-0.0313,-0.459,-0.577,-0.135,-0.2325,0.045,0.757,1311,1312,187.49,832619.0,0.007574,0.4798,0.9721,88002897.0,0.036,62.9206,8.9983,5-4_C,2018-2024,covid_long,OK
6.9925,1644,109925000.0,-0.0027,0.048,0.067,-0.009,-0.2847,0.0,0.0,0,1,0.0,26000.0,0.000237,1.0,1.0,107874000.0,0.0694,0.0,0.0,B&H,2018-2024,covid_short,OK
6.9925,1644,109925000.0,-0.002,0.027,0.038,-0.009,-0.2345,0.0484,0.77,1465,1466,209.51,459282.0,0.004178,0.7377,1.0,108347043.0,0.0499,33.7659,4.8289,5-4_A,2018-2024,covid_short,OK
6.9925,1644,109925000.0,-0.0017,0.018,0.024,-0.008,-0.2112,0.0484,0.738,1465,1466,209.51,675923.0,0.006149,0.6065,1.0,108583564.0,0.0412,50.6488,7.2433,5-4_B,2018-2024,covid_short,OK
6.9925,1644,109925000.0,-0.0014,0.011,0.013,-0.007,-0.1907,0.0437,0.69,1465,1466,209.51,892563.0,0.00812,0.4753,0.9732,108820085.0,0.0341,67.5317,9.6577,5-4_C,2018-2024,covid_short,OK
1.6838,405,372625000.0,0.2905,1.372,1.513,1.242,-0.2339,1.0,inf,0,1,0.0,26000.0,7e-05,1.0,1.0,572499000.0,0.1265,0.0,0.0,B&H,2025-,none,OK
1.6838,405,372625000.0,0.1924,1.469,1.62,1.25,-0.1539,0.1078,4.934,333,334,197.77,125512.0,0.000337,0.6482,1.0,501092717.0,0.0748,7.9365,4.7135,5-4_A,2025-,none,OK
1.6838,405,372625000.0,0.1412,1.674,1.877,1.409,-0.1002,0.1078,4.503,333,334,197.77,175268.0,0.00047,0.4723,1.0,465389576.0,0.0468,11.9048,7.0702,5-4_B,2025-,none,OK
1.6838,405,372625000.0,0.0883,2.248,2.54,2.137,-0.0413,0.0898,3.067,333,334,197.77,225024.0,0.000604,0.2964,0.9358,429686435.0,0.021,15.873,9.4269,5-4_C,2025-,none,OK
1.6838,405,372625000.0,0.2905,1.372,1.513,1.242,-0.2339,1.0,inf,0,1,0.0,26000.0,7e-05,1.0,1.0,572499000.0,0.1265,0.0,0.0,B&H,2025-,covid_long,OK
1.6838,405,372625000.0,0.1924,1.469,1.62,1.25,-0.1539,0.1078,4.934,333,334,197.77,125512.0,0.000337,0.6482,1.0,501092717.0,0.0748,7.9365,4.7135,5-4_A,2025-,covid_long,OK
1.6838,405,372625000.0,0.1412,1.674,1.877,1.409,-0.1002,0.1078,4.503,333,334,197.77,175268.0,0.00047,0.4723,1.0,465389576.0,0.0468,11.9048,7.0702,5-4_B,2025-,covid_long,OK
1.6838,405,372625000.0,0.0883,2.248,2.54,2.137,-0.0413,0.0898,3.067,333,334,197.77,225024.0,0.000604,0.2964,0.9358,429686435.0,0.021,15.873,9.4269,5-4_C,2025-,covid_long,OK
1.6838,405,372625000.0,0.2905,1.372,1.513,1.242,-0.2339,1.0,inf,0,1,0.0,26000.0,7e-05,1.0,1.0,572499000.0,0.1265,0.0,0.0,B&H,2025-,covid_short,OK
1.6838,405,372625000.0,0.1924,1.469,1.62,1.25,-0.1539,0.1078,4.934,333,334,197.77,125512.0,0.000337,0.6482,1.0,501092717.0,0.0748,7.9365,4.7135,5-4_A,2025-,covid_short,OK
1.6838,405,372625000.0,0.1412,1.674,1.877,1.409,-0.1002,0.1078,4.503,333,334,197.77,175268.0,0.00047,0.4723,1.0,465389576.0,0.0468,11.9048,7.0702,5-4_B,2025-,covid_short,OK
1.6838,405,372625000.0,0.0883,2.248,2.54,2.137,-0.0413,0.0898,3.067,333,334,197.77,225024.0,0.000604,0.2964,0.9358,429686435.0,0.021,15.873,9.4269,5-4_C,2025-,covid_short,OK
