scope,period,n_bars,strategy_return,strategy_sharpe,strategy_mdd,trades_entry,trades_exit,bh_return,regime
yearly,2025,662,0.10420181264928186,3.415267055727449,-0.036199673062683485,4,3,0.415929203539823,상승장
yearly,2026,1303,0.41414652528594553,1.7431333329175098,-0.13595054542619897,7,8,0.64628786062495,상승장
overall,2025-08-26 09:00:00~2026-09-03 15:00:00,1966,0.5618270457743026,1.804934884695523,-0.13595054542619897,11,11,1.3986958546809505,상승장
