unit_key,index_names,n_etfs,etfs,first,last,class,reason
fnguide스마트로우볼지수,FnGuide 스마트 로우볼 지수,1,322130 KINDEX 스마트로우볼,20190416,20240723,포함,
fnguide스마트퀄리티지수,FnGuide 스마트 퀄리티 지수,1,322120 KINDEX 스마트퀄리티,20190416,20240723,포함,
fnguide스마트하이베타지수,FnGuide 스마트 하이베타 지수,1,322150 KINDEX 스마트하이베타,20190416,20240723,포함,
fnguidee커머스지수,FnGuide E커머스 지수,1,322400 HANARO e커머스,20190423,20260921,포함,
fnguide고배당알파지수,FnGuide 고배당 알파 지수,1,322410 HANARO 고배당,20190423,20260921,포함,
fnguide성장지수(pr),FnGuide 성장 지수(PR),1,325010 KODEX 성장주,20190531,20260921,포함,
fnguideslv배당가치지수,FnGuide SLV 배당가치 지수,1,325020 KODEX 배당가치,20190531,20260921,포함,
fnguideit플러스지수,FnGuide IT플러스 지수,1,326240 RISE IT플러스,20190620,20260921,포함,
fnguide내수주플러스지수,FnGuide 내수주플러스 지수,1,326230 RISE 내수주플러스,20190620,20260921,포함,
코스피tr,코스피 TR,2,328370 PLUS 코스피TR | 359210 KODEX 코스피TR,20190625,20260921,제외,시장 대표지수(§1 목록)
fnguide-키움스마트중소형주지수,FnGuide-키움 스마트 중소형주 지수,1,331910 KOSEF Fn중소형,20190813,20241105,포함,
fnguideks로우볼가중tr지수,FnGuide KS 로우볼 가중 TR 지수,1,333940 PLUS KS로우볼가중TR,20190905,20240926,포함,
fnguideks로우사이즈가중tr지수,FnGuide KS 로우사이즈 가중 TR 지수,1,333950 PLUS KS로우사이즈가중TR,20190905,20241023,포함,
fnguideks모멘텀가중tr지수,FnGuide KS 모멘텀 가중 TR 지수,1,333960 PLUS KS모멘텀가중TR,20190905,20240926,포함,
fnguideks밸류가중tr지수,FnGuide KS 밸류 가중 TR 지수,1,333970 PLUS KS밸류가중TR,20190905,20241023,포함,
fnguideks퀄리티가중tr지수,FnGuide KS 퀄리티 가중 TR 지수,1,333980 PLUS KS퀄리티가중TR,20190905,20240826,포함,
코스피200esg지수,코스피 200 ESG 지수,1,337160 KODEX 200ESG,20191114,20260921,제외,수동: ESG 선별 광범위 지수 — 가중치만 다른 시장 전체
코스피200초대형제외지수,코스피 200 초대형제외 지수,1,337150 KODEX 200exTOP,20191114,20260921,제외,시장 대표지수(§1 목록)
fnguide멀티팩터지수,FnGuide 멀티팩터 지수,1,337120 KODEX 멀티팩터,20191114,20260921,포함,
코스피200제외코스피지수,코스피200제외 코스피지수,1,361590 KBSTAR 코스피ex200,20200821,20220419,제외,시장 대표지수(§1 목록)
코스피200정보기술tr,코스피200 정보기술 TR,1,363580 KODEX 200IT TR,20200925,20260921,병합,수동: 같은 지수의 배당 재투자판 → 코스피200정보기술
krxbbig지수,KRX BBIG 지수,2,364960 TIGER KRX BBIG K-뉴딜 | 385710 TIMEFOLIO 이노베이션액티브,20201007,20260921,포함,
krx2차전지top10지수,KRX 2차전지 TOP 10 지수,1,364980 TIGER KRX2차전지K-뉴딜,20201007,20260921,포함,
krx게임top10지수,KRX 게임 TOP 10 지수,1,364990 TIGER 게임TOP10,20201007,20260921,포함,
krx바이오top10지수,KRX 바이오 TOP 10 지수,2,0000Z0 RISE 바이오TOP10액티브 | 364970 TIGER 바이오TOP10,20201007,20260921,포함,
krx인터넷top10지수,KRX 인터넷 TOP 10 지수,1,365000 TIGER 인터넷TOP10,20201007,20260921,포함,
fnguide5g산업지수,FnGuide 5G 산업 지수,1,367740 HANARO Fn5G산업,20201029,20260921,포함,
fnguide네트워크인프라지수,FnGuide 네트워크 인프라 지수,1,367760 RISE 네트워크인프라,20201029,20260921,포함,
fnguide수소경제테마지수,FnGuide 수소 경제 테마 지수,1,367770 RISE 수소경제테마,20201029,20260921,포함,
fnguidek-뉴딜디지털플러스지수,FnGuide K-뉴딜 디지털 플러스 지수,4,368190 HANARO Fn K-뉴딜디지털플러스 | 368200 KBSTAR Fn K-뉴딜디지털플러스 | 368470 KINDEX Fn K-뉴딜디지털플러스 | 368680 KODEX K-뉴딜디지털플러스,20201110,20260921,포함,
fnguidek-이노베이션지수,FnGuide K-이노베이션 지수,1,373490 KODEX 코리아혁신성장액티브,20201224,20260921,포함,
fnguide신재생에너지지수,FnGuide 신재생에너지 지수,1,377990 TIGER Fn신재생에너지,20210305,20260921,포함,
fnguide전기&수소차지수(시장가격),FnGuide 전기&수소차 지수 (시장가격),1,381560 HANARO Fn전기&수소차,20210402,20260921,포함,
